,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.09000000171363354
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.09000000171363354
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.10000000149011612
193,0.10000000149011612
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.10000000149011612
200,0.10000000149011612
201,0.0
202,0.09000000171363354
203,0.0
204,0.0
205,0.0
206,0.09000000171363354
207,0.10000000149011612
208,0.0
209,0.10000000149011612
210,0.10000000149011612
211,0.09000000171363354
212,0.0
213,0.0
214,0.0
215,0.10000000149011612
216,0.09000000171363354
217,0.0
218,0.10000000149011612
219,0.09000000171363354
220,0.10000000149011612
221,0.10000000149011612
222,0.09000000171363354
223,0.09000000171363354
224,0.10000000149011612
225,0.09000000171363354
226,0.09000000171363354
227,0.09000000171363354
228,0.09000000171363354
229,0.10000000149011612
230,0.09000000171363354
231,0.09000000171363354
232,0.10000000149011612
233,0.10000000149011612
234,0.10000000149011612
235,0.0
236,0.10000000149011612
237,0.0
238,0.10000000149011612
239,0.10000000149011612
240,0.10000000149011612
241,0.10000000149011612
242,0.10000000149011612
243,0.10000000149011612
244,0.10000000149011612
245,0.10000000149011612
246,0.10000000149011612
247,0.10000000149011612
248,0.09000000171363354
249,0.19000000320374966
250,0.10000000149011612
251,0.20000000298023224
252,0.09000000171363354
253,0.10000000149011612
254,0.10000000149011612
255,0.10000000149011612
256,0.10000000149011612
257,0.19000000320374966
258,0.09000000171363354
259,0.09000000171363354
260,0.4000000059604645
261,0.10000000149011612
262,0.10000000149011612
263,0.10000000149011612
264,0.10000000149011612
265,0.10000000149011612
266,0.10000000149011612
267,0.10000000149011612
268,0.10000000149011612
269,0.10000000149011612
270,0.10000000149011612
271,0.10000000149011612
272,0.09000000171363354
273,0.10000000149011612
274,0.10000000149011612
275,0.09000000171363354
276,0.10000000149011612
277,0.10000000149011612
278,0.10000000149011612
279,0.10000000149011612
280,0.09000000171363354
281,0.09000000171363354
282,0.09000000171363354
283,0.10000000149011612
284,0.09000000171363354
285,0.09000000171363354
286,0.10000000149011612
287,0.09000000171363354
288,0.09000000171363354
289,0.10000000149011612
290,0.09000000171363354
291,0.10000000149011612
292,0.09000000171363354
293,0.09000000171363354
294,0.09000000171363354
295,0.09000000171363354
296,0.09000000171363354
297,0.09000000171363354
298,0.09000000171363354
299,0.09000000171363354
300,0.10000000149011612
301,0.10000000149011612
302,0.09000000171363354
303,0.10000000149011612
304,0.10000000149011612
305,0.20000000298023224
306,0.09000000171363354
307,0.20000000298023224
308,0.10000000149011612
309,0.20000000298023224
310,0.19000000320374966
311,0.10000000149011612
312,0.20000000298023224
313,1.2000000178813934
314,0.10000000149011612
315,0.10000000149011612
316,0.10000000149011612
317,0.09000000171363354
318,0.10000000149011612
319,0.10000000149011612
320,0.09000000171363354
321,0.10000000149011612
322,0.10000000149011612
323,0.20000000298023224
324,2.600000038743019
325,0.0
326,2.1000000312924385
327,2.600000038743019
328,2.600000038743019
329,0.10000000149011612
330,1.0000000149011612
331,2.600000038743019
332,0.8900000136345625
333,2.600000038743019
334,1.290000019595027
335,0.09000000171363354
336,0.20000000298023224
337,0.0
338,0.10000000149011612
339,0.10000000149011612
340,0.09000000171363354
341,0.10000000149011612
342,0.10000000149011612
343,0.10000000149011612
344,0.7000000104308128
345,1.4000000208616257
346,0.09000000171363354
347,0.10000000149011612
348,0.20000000298023224
349,0.10000000149011612
350,0.09000000171363354
351,0.20000000298023224
352,0.09000000171363354
353,0.10000000149011612
354,0.20000000298023224
355,0.10000000149011612
356,0.10000000149011612
357,0.10000000149011612
358,0.10000000149011612
359,0.10000000149011612
360,0.9000000134110451
361,0.10000000149011612
362,0.10000000149011612
363,0.10000000149011612
364,2.400000035762787
365,0.10000000149011612
366,0.09000000171363354
367,0.4000000059604645
368,0.4000000059604645
369,0.10000000149011612
370,2.600000038743019
371,0.0
372,1.9000000283122063
373,1.4000000208616257
374,0.20000000298023224
375,2.600000038743019
376,2.7000000402331352
377,2.600000038743019
378,2.7000000402331352
379,2.7000000402331352
380,0.10000000149011612
381,0.10000000149011612
382,0.19000000320374966
383,0.10000000149011612
384,0.10000000149011612
385,0.20000000298023224
386,0.20000000298023224
387,0.10000000149011612
388,0.09000000171363354
389,0.20000000298023224
390,0.10000000149011612
391,0.19000000320374966
392,0.10000000149011612
393,0.20000000298023224
394,0.20000000298023224
395,0.20000000298023224
396,0.20000000298023224
397,0.20000000298023224
398,0.20000000298023224
399,0.19000000320374966
400,0.20000000298023224
401,0.19000000320374966
402,0.20000000298023224
403,0.10000000149011612
404,0.800000011920929
405,0.4000000059604645
406,0.10000000149011612
407,0.09000000171363354
